,Vessel Name,IMO,MMSI,Latitude,Longitude,Date,Direction,Degrees,Speed,Source,Mod_lat,Mod_long,lat_noise,long_noise
38,MAERSK KIMI,9162227,244132000,16° 57.015' N,054° 01.440' E,15/06/2019 12:39:17 +00:00,ENE,70,6.3,T-AIS,16.95025,54.024,16.952973382526917,54.02166076896111
39,MAERSK KIMI,9162227,244132000,16° 57.218' N,054° 02.209' E,15/06/2019 12:45:37 +00:00,E,79,8.3,T-AIS,16.953633333333332,54.03681666666667,16.94951419933655,54.03984663613098
40,MAERSK KIMI,9162227,244132000,16° 53.500' N,054° 24.800' E,15/06/2019 14:02:33 +00:00,E,100,18.0,S-AIS,16.891666666666666,54.413333333333334,16.889474612810854,54.40952188561378
41,MAERSK KIMI,9162227,244132000,16° 53.348' N,054° 25.932' E,15/06/2019 14:05:50 +00:00,E,100,18.8,S-AIS,16.889133333333334,54.4322,16.888877011999828,54.42964453790065
42,MAERSK KIMI,9162227,244132000,16° 53.216' N,054° 56.231' E,15/06/2019 15:38:48 +00:00,ENE,78,18.7,S-AIS,16.88693333333333,54.93718333333333,16.889948393444154,54.93319676273382
43,MAERSK KIMI,9162227,244132000,16° 53.216' N,054° 56.231' E,15/06/2019 15:38:50 +00:00,ENE,78,18.7,S-AIS,16.88693333333333,54.93718333333333,16.886030708361567,54.93891014226093
44,MAERSK KIMI,9162227,244132000,16° 53.307' N,054° 56.674' E,15/06/2019 15:40:13 +00:00,ENE,78,18.6,S-AIS,16.88845,54.94456666666667,16.88995907855691,54.94761763442211
45,MAERSK KIMI,9162227,244132000,16° 54.701' N,055° 02.670' E,15/06/2019 16:00:02 +00:00,ENE,76,17.4,T-AIS,16.911683333333333,55.0445,16.904867274318867,55.04488803427988
46,MAERSK KIMI,9162227,244132000,16° 54.747' N,055° 02.854' E,15/06/2019 16:00:38 +00:00,ENE,75,17.3,S-AIS,16.91245,55.04756666666667,16.917614842131076,55.052302053550754
47,MAERSK KIMI,9162227,244132000,16° 56.629' N,055° 09.871' E,15/06/2019 16:25:13 +00:00,ENE,72,16.7,T-AIS,16.943816666666667,55.164516666666664,16.947703437671898,55.160880011800906
